time,helicopter,atc,airplane
20:30:18.0,,START OF COMBINED TRANSCRIPT,
20:30:18.0,,DCA-LC thank you Bluestreak fifty six seventy three winds are three two zero at one six gusts two five traffic on runway one will hold short of your intersection runway three three cleared for takeoff.,
20:30:19.1,RDO-2 Washington Tower PAT two five U-H sixty off of Montgomery requesting flight following back to Davison.,,
20:30:27.2,INT-2 wow not flight following *.,,
20:30:27.6,,,JIA5673 cleared for takeoff runway three three Bluestreak fifty six seventy three.
20:30:28.1,INT-1 ha.,,
20:30:33.7,INT-2 hopefully they didn't hear that but they probably did. [sound of quick laugh],,
20:30:41.5,INT-1 they just said uh we'll ignore that.,,
20:30:43.7,INT-2 yeah. I don't hear any traffic on there though. we don't need to talk to them yet.,,
20:30:48.6,,TWR-A * in sight departing runway three three maintain-maintain visual DCA-LC Skywest fifty eight hundred do you have the departed C-R-J in separation. sight runway three three and can main— maintain visual separation.,
20:30:54.7,INT-2 we're below twenty five hundred.,,
20:30:55.5,,TWR-A * * *. DCA-LC actually disregard Skywest fifty eight hundred.,
20:30:56.6,INT-1 yup.,,
20:30:57.4,,SKW5800 Skywest fifty eight hundred.,
20:30:58.4,,TWR-A disregard Southwest * * runway runway one. DCA-LC uh disregard so Southwest fifty eight hundred continue holding position runway— runway one.,
20:31:02.3,,SKW5800 hold position runway one Skywest fifty eight hundred.,
20:31:04.9,,TWR-A Bluestreak fifty six seventy three contact Potomac. DCA-LC Bluestreak fifty six seventy three contact Potomac Departure.,
20:31:07.4,,,JIA5673 (to) departure Bluestreak fifty six seventy three.
20:31:08.1,"RDO [sound similar to twelve mic clicks, consistent with operating PCL]",,
20:31:10.9,INT-2 more lights.,,
20:31:13.5,INT-1 I was trying to find it. this time for real.,,
20:31:20.6,INT-2 * at the back right of the aircraft.,,
20:31:24.9,INT-1 yeah there it is.,,
20:31:25.4,,TWR-A Skywest * traffic on a two mile final for runway three three no DCA-LC Skywest fifty eight hundred traffic on a two mile final for runway delay runway one clear for takeoff. three three. no delay. runway one cleared for takeoff.,
20:31:28.0,INT-1 there's fifteen hundred feet.,,
20:31:30.4,INT-2 okay. * altitude. fifteen hundred's good.,,
20:31:31.1,,SKW5800 runway one cleared for takeoff no delay Skywest fifty eight hundred.,
20:31:33.8,,TWR-A Bluestreak fifty two sixty nine Washington Tower runway one line DCA-LC Bluestreak fifty two sixty nine Washington Tower runway one line up and wait traffic landing three three. up and wait traffic lands runway three three.,
20:31:38.2,,,JIA5269 runway one line up and wait Bluestreak fifty two sixty nine.
20:31:39.2,INT-2 alright number one needle. I'll try them again.,,
20:31:42.2,INT-1 alright coming right on the number one.,,
20:32:00.2,RDO-2 National Tower PAT two five requesting Cabin John route one PAT25 National Tower PAT two five requesting Cabin John route one route four Davison. route four Davison. [loud static during transmission],,
20:32:09.2,,TWR-A PAT two five Washington Tower * two niner eight nine say DCA-LC PAT two five Washington Tower National altimeter two niner position. [transmission broken] eight nine uh say position.,
20:32:14.0,RDO-2 two niner eight nine PAT two five proceed as requested PAT25 two niner eight nine PAT two five proceed as requested. [loud static during transmission],,
20:32:18.2,INT-2 alright. is he pretty muffled?,,
20:32:18.9,,TWR-A Skywest fifty eight * contact departure. DCA-LC Skywest fifty eight hundred contact Potomac Departure.,
20:32:21.3,,SKW5800 over to departure Skywest fifty eight hundred.,
20:32:23.7,INT-1 yeah. I definitely didn't catch what he said. I'm glad you did.,,
20:32:28.8,INT-2 I don't know if that last one * not. * before that though.,,
20:32:38.9,INT-2 huh. volume's at eighteen its loud enough.,,
