file,real_seconds,user_seconds,sys_seconds,cpu_seconds
Azure_autorest__codeql.yml,0.41,0.58,0.01,0.59
Azure_autorest__consitency-checks.yml,0.22,0.36,0.02,0.38
Azure_autorest__prepare-auto-release-branch.yml,0.21,0.38,0.01,0.39
Azure_azure-powershell__issue-metrics.yml,0.2,0.37,0.02,0.39
Azure_azure-powershell__issue-sentinel.yml,0.21,0.36,0.02,0.38
Azure_azure-powershell__pr-labeled.yml,0.21,0.39,0.0,0.39
Azure_azure-quickstart-templates__auto-fix.yml,0.21,0.37,0.01,0.38
Azure_azure-rest-api-specs__SDK-Suppressions-Label.yaml,0.23,0.32,0.06,0.38
Azure_azure-rest-api-specs___reusable-eng-tools-test.yaml,0.24,0.39,0.02,0.41
Azure_azure-rest-api-specs___reusable-set-check-status.yaml,0.21,0.36,0.04,0.4
Azure_azure-rest-api-specs__arm-auto-signoff-code.yaml,0.21,0.33,0.05,0.38
Azure_azure-rest-api-specs__arm-auto-signoff-status.yaml,0.24,0.41,0.01,0.42
Azure_azure-rest-api-specs__avocado-code.yaml,0.21,0.36,0.02,0.38
Azure_azure-rest-api-specs__avocado-status.yaml,0.21,0.36,0.02,0.38
Azure_azure-rest-api-specs__breaking-change-add-label-artifacts.yaml,0.22,0.4,0.02,0.42
Azure_azure-rest-api-specs__breaking-change-code.yaml,0.21,0.36,0.03,0.39
Azure_azure-rest-api-specs__breaking-change-cross-version-code.yaml,0.21,0.3,0.06,0.36
Azure_azure-rest-api-specs__breaking-change-cross-version-status.yaml,0.23,0.41,0.02,0.43
Azure_azure-rest-api-specs__breaking-change-status.yaml,0.21,0.34,0.04,0.38
Azure_azure-rest-api-specs__codeql.yaml,0.22,0.39,0.02,0.41
Azure_azure-rest-api-specs__copilot-setup-steps.yaml,0.22,0.38,0.03,0.41
Azure_azure-rest-api-specs__github-test.yaml,0.22,0.39,0.01,0.4
Azure_azure-rest-api-specs__lintdiff-code.yaml,0.23,0.34,0.09,0.43
Azure_azure-rest-api-specs__lintdiff-status.yaml,0.23,0.36,0.04,0.4
Azure_azure-rest-api-specs__lintdiff-test.yaml,0.22,0.37,0.02,0.39
Azure_azure-rest-api-specs__oav-runner-tests.yaml,0.25,0.31,0.12,0.43
Azure_azure-rest-api-specs__openapi-diff-runner-test.yaml,0.23,0.4,0.01,0.41
